Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Season_Id,Venue_Name,Toss_Winner_Id,Toss_Decision,IS_Superover,IS_Result,Win_Type,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,First_Umpire_Id,Second_Umpire_Id,City_Name,Host_Country
336019,11-May-08,8,1,1,"Rajiv Gandhi International Stadium, Uppal",1,bat,0,1,by runs,23.0,1.0,1.0,475,492,Hyderabad,India
336020,11-May-08,5,6,1,Sawai Mansingh Stadium,5,field,0,1,by wickets,3.0,5.0,32.0,473,477,Jaipur,India
336021,12-May-08,4,2,1,"Punjab Cricket Association Stadium, Mohali",2,bat,0,1,by wickets,9.0,4.0,100.0,478,514,Chandigarh,India
336022,13-May-08,1,6,1,Eden Gardens,1,bat,0,1,by runs,23.0,1.0,144.0,470,475,Kolkata,India
336023,14-May-08,7,3,1,Wankhede Stadium,7,field,0,1,by wickets,9.0,7.0,44.0,478,492,Mumbai,India
336024,28-May-08,4,5,1,"Punjab Cricket Association Stadium, Mohali",5,field,0,1,by runs,41.0,4.0,100.0,473,486,Chandigarh,India
336025,15-May-08,6,8,1,Feroz Shah Kotla,8,field,0,1,by runs,12.0,6.0,136.0,480,512,Delhi,India
336026,16-May-08,7,1,1,Wankhede Stadium,7,field,0,1,by wickets,8.0,7.0,49.0,478,476,Mumbai,India
336027,17-May-08,6,4,1,Feroz Shah Kotla,6,bat,0,1,by runs,6.0,4.0,64.0,479,477,Delhi,India
336028,17-May-08,5,2,1,Sawai Mansingh Stadium,2,field,0,1,by runs,65.0,5.0,74.0,474,487,Jaipur,India
336029,18-May-08,8,7,1,"Rajiv Gandhi International Stadium, Uppal",8,field,0,1,by runs,25.0,7.0,71.0,478,476,Hyderabad,India
336030,18-May-08,1,3,1,Eden Gardens,1,bat,0,1,by runs,3.0,3.0,122.0,470,486,Kolkata,India
336031,19-May-08,2,6,1,M Chinnaswamy Stadium,6,field,0,1,by wickets,5.0,6.0,132.0,473,512,Bangalore,India
336032,20-May-08,1,5,1,Eden Gardens,5,field,0,1,by wickets,6.0,5.0,31.0,480,477,Kolkata,India
336033,21-May-08,7,4,1,Wankhede Stadium,7,field,0,1,by runs,1.0,4.0,100.0,474,512,Mumbai,India
336034,21-May-08,3,2,1,"MA Chidambaram Stadium, Chepauk",2,bat,0,1,by runs,14.0,2.0,124.0,476,514,Chennai,India
336036,23-May-08,4,8,1,"Punjab Cricket Association Stadium, Mohali",4,field,0,1,by wickets,6.0,4.0,100.0,470,473,Chandigarh,India
336037,24-May-08,6,7,1,Feroz Shah Kotla,6,field,0,1,by wickets,5.0,6.0,88.0,474,486,Delhi,India
336038,24-May-08,3,5,1,"MA Chidambaram Stadium, Chepauk",5,bat,0,1,by runs,10.0,5.0,109.0,476,487,Chennai,India
336039,3-May-08,2,8,1,M Chinnaswamy Stadium,8,field,0,1,by runs,3.0,2.0,14.0,478,487,Bangalore,India
336040,25-May-08,1,4,1,Eden Gardens,4,bat,0,1,by wickets,3.0,1.0,105.0,473,514,Kolkata,India
336041,26-May-08,5,7,1,Sawai Mansingh Stadium,5,field,0,1,by wickets,5.0,5.0,102.0,474,486,Jaipur,India
336042,27-May-08,8,3,1,"Rajiv Gandhi International Stadium, Uppal",8,bat,0,1,by wickets,7.0,3.0,21.0,480,492,Hyderabad,India
336043,30-May-08,6,5,1,Wankhede Stadium,6,field,0,1,by runs,105.0,5.0,32.0,474,477,Mumbai,India
336044,31-May-08,3,4,1,Wankhede Stadium,4,bat,0,1,by wickets,9.0,3.0,122.0,470,476,Mumbai,India
336045,1-Jun-08,3,5,1,Dr DY Patil Sports Academy,5,field,0,1,by wickets,3.0,5.0,31.0,474,477,Mumbai,India
392186,18-Apr-09,3,7,2,Newlands,3,field,0,1,by runs,19.0,7.0,133.0,478,486,Cape Town,South Africa
392187,18-Apr-09,2,5,2,Newlands,2,bat,0,1,by runs,75.0,2.0,6.0,478,513,Cape Town,South Africa
392188,19-Apr-09,6,4,2,Newlands,6,field,0,1,by wickets,10.0,6.0,175.0,471,515,Cape Town,South Africa
392189,19-Apr-09,8,1,2,Newlands,1,bat,0,1,by wickets,8.0,8.0,61.0,471,478,Cape Town,South Africa
392190,20-Apr-09,2,3,2,St George's Park,3,bat,0,1,by runs,92.0,3.0,121.0,480,490,Port Elizabeth,South Africa
392191,21-Apr-09,4,1,2,Kingsmead,1,field,0,1,by runs,11.0,1.0,162.0,476,515,Durban,South Africa
392193,22-Apr-09,2,8,2,Newlands,8,bat,0,1,by runs,24.0,8.0,53.0,481,492,Cape Town,South Africa
392194,23-Apr-09,3,6,2,Kingsmead,6,bat,0,1,by runs,9.0,6.0,110.0,478,490,Durban,South Africa
392196,24-Apr-09,2,4,2,Kingsmead,2,bat,0,1,by wickets,7.0,4.0,161.0,478,516,Durban,South Africa
392197,25-Apr-09,8,7,2,Kingsmead,8,bat,0,1,by runs,12.0,8.0,131.0,482,490,Durban,South Africa
392199,26-Apr-09,2,6,2,St George's Park,2,bat,0,1,by wickets,6.0,6.0,135.0,483,480,Port Elizabeth,South Africa
392200,26-Apr-09,4,5,2,Newlands,4,bat,0,1,by runs,27.0,4.0,26.0,481,486,Cape Town,South Africa
392201,27-Apr-09,3,8,2,Kingsmead,8,field,0,1,by wickets,6.0,8.0,97.0,475,516,Durban,South Africa
392202,27-Apr-09,1,7,2,St George's Park,7,bat,0,1,by runs,92.0,7.0,133.0,480,513,Port Elizabeth,South Africa
392203,28-Apr-09,6,5,2,SuperSport Park,6,bat,0,1,by wickets,5.0,5.0,31.0,484,477,Centurion,South Africa
392204,29-Apr-09,2,1,2,Kingsmead,1,bat,0,1,by wickets,5.0,2.0,11.0,471,516,Durban,South Africa
392205,29-Apr-09,4,7,2,Kingsmead,4,bat,0,1,by runs,3.0,4.0,26.0,471,487,Durban,South Africa
392206,30-Apr-09,8,6,2,SuperSport Park,6,field,0,1,by wickets,6.0,6.0,223.0,484,492,Centurion,South Africa
392207,30-Apr-09,3,5,2,SuperSport Park,5,field,0,1,by runs,38.0,3.0,21.0,484,477,Centurion,South Africa
392208,1-May-09,1,7,2,Buffalo Park,7,bat,0,1,by runs,9.0,7.0,154.0,481,488,East London,South Africa
392209,1-May-09,2,4,2,Kingsmead,2,bat,0,1,by runs,8.0,2.0,27.0,482,489,Durban,South Africa
392210,2-May-09,8,5,2,St George's Park,8,bat,0,1,by wickets,3.0,5.0,31.0,483,480,Port Elizabeth,South Africa
392211,2-May-09,3,6,2,New Wanderers Stadium,6,field,0,1,by runs,18.0,3.0,186.0,476,477,Johannesburg,South Africa
